,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
0,3934,11,1L0cyu,Bahar,Des Hanim'in,Female,Unmarried,cat,Frernard,165911,Lego,33.8 hours,9,5,6,5,3
1,3086,17,1LGm6s,溪民,酿酒,Male,Unmarried,dog,瑜伽,13070,钱,1.6 hours,1,0,2,7,0
2,7077,11,1IyIEX,hyemin,NCT,Female,Harvey,dog,mark,2639333,mark,85.7 hours,10,8,10,10,7
3,1736,8,1NAJEQ,Александр,Теплый двор,Male,Penny,cat,Тишка,4695272,Мой член,72.3 hours,10,10,10,9,10
4,5484,9,1JwWuE,Karin,Primavera,Female,Unmarried,cat,Lídia,3852595,Morango,75.7 hours,10,9,10,10,7
5,6966,5,1IELgU,boi,testmultiplaye,Male,Unmarried,cat,Dödsoffer,15002628,cold ones,8.3 hours,1,1,0,0,1
6,8906,8,1H9CAr,Wayu,Pha&Mao,Male,Elliott,cat,Summao,2021078,He's my type,151.5 hours,,,,,
7,1781,9,1NvoCd,Bayu,Bima,Male,Unmarried,dog,Bolt,15666099,Natasya,63.3 hours,10,10,10,10,10
8,10084,11,1GlJsT,Fiona,Allegheny,Female,Unmarried,cat,Tuna,18606010,YouTube,59.6 hours,10,10,10,0,10
9,9344,13,1GSMvK,Nick,Wilderness,Male,Abigail,cat,Dudley,1915906,Television,85.7 hours,,,,,
10,14995,4,1D8GXh,小百合,绿帽,Female,Unmarried,cat,小雪,1472438,百合,38.3 hours,10,10,9,15,9
11,3596,1,1LdM8A,Yammo,Yam,Male,Emily,dog,Beets,1234239,Yams,94.4 hours,10,9,10,9,9
12,10336,2,1G7FRc,Jun,Kingdom Park,Male,Penny,cat,DIDU,15212215,Movie,126.3 hours,,,,,
13,8840,4,1HbXOI,Sarah,Sapho,Female,Rasmi,cat,Miso,1574865,Weed,51.2 hours,10,8,7,10,8
14,13450,10,1EiZiW,Melodie,Jade,Female,Unmarried,cat,Miso,13249717,Dragonflies,96.3 hours,10,10,10,8,10
15,5829,12,1Jnona,Loozje,Wangxian,Female,Abigail,cat,Catzun,2787926,Reading,74.3 hours,10,8,9,9,8
16,418,10,1QvqIL,Pepper,Mint,Male,Sebastian,cat,Chocolate,38526647,Peppermi,184.0 hours,10,10,10,10,10
17,10099,7,1Gl1KQ,NekoGame,=salt=,Female,Unmarried,cat,emilia,43149,loli con,8.4 hours,3,4,3,2,3
18,8608,9,1Hj9n9,Miguel,Meu Mundo,Male,Penny,dog,Komanje,20505445,Dinossauro,179.5 hours,,,,,
19,8643,9,1HiiLl,Renee,Shrimp's,Female,Unmarried,cat,Ori,679610,Mangoes,54.8 hours,,,,,
20,222,15,1Rggiq,NOVA,Starlight,Female,Abigail,cat,Cuddles,33029056,Cuddles,302.6 hours,10,10,10,10,10
21,5477,16,1Jxb33,Grim Bear,Steroid,Male,Leah,cat,Rogu,26213549,Rabbits,186.5 hours,10,10,10,10,10
22,1132,10,1OGDzx,Monster,Gado D++,Male,Penny,dog,Catioro,46749095,Buceta,205.5 hours,10,10,10,10,10
23,10298,6,1G9TbT,Brina,Gaia,Female,Unmarried,NA,NA,0,Cake,0.0 hours,0,0,0,0,0
24,15583,3,1CHY5f,%name,Experimental,Female,Unmarried,cat,Zuko,1344432,DATA,8.8 hours,,,,,
25,4804,7,1K4kka,Kiki,Fruits Basket,Female,Unmarried,dog,Suki,463892,Love,87.8 hours,10,10,10,9,9
26,4700,10,1KadV9,Toot,Egg,Female,Elliott,cat,Miso,7350675,Seals,110.9 hours,,,,,
27,13298,0,1Er6D3,Mae [486][645],Stramble Hill,Female,Unmarried,cat,Bartholomew,254469,Good Work,35.5 hours,,,,,
28,5709,14,1JqCV5,Crooked.8,Basement_NY,Male,Unmarried,dog,Wilma,2632037,Soccer,138.0 hours,10,10,10,10,10
29,11479,6,1Fwo7j,あかなす,コーヒー牛乳,Female,Unmarried,dog,ジューシー,35048,とまと,7.0 hours,,,,,
30,15797,3,1Czdjx,Tossy,StarSeed 2nd,Male,Unmarried,cat,Mia,5974,HardRock,4.3 hours,2,2,2,3,0
31,12958,9,1EFCcl,Peter,Riverside,Male,Haley,cat,达德利,2837037,Reading,121.3 hours,10,10,10,10,10
32,1623,10,1NNuOQ,apelikespears,women (fr),Female,Abigail,cat,Feffe,39724968,my friend jex,93.1 hours,,,,,
33,3163,12,1LB8zy,Zachary,Peachwood,Male,Unmarried,dog,Zumbus,7037970,Sleep,85.7 hours,,,,,
34,1980,13,1NcP8O,Жижа,Гей Клуб,Male,Unmarried,dog,Йоги,139217,Член,18.7 hours,8,6,5,8,6
35,6819,15,1IKPSU,Kwan,KwanShim14,Male,Unmarried,cat,Amos,2661309,Ancient Wine,32.8 hours,,,,,
36,7730,11,1HVoOT,Barbara Jane,Highgarden,Female,Unmarried,dog,Ollie,26899301,Strawberries,264.6 hours,10,10,10,10,9
37,14260,4,1DCUHm,Lydia,Coolio,Female,Harvey,dog,Angus,1927094,Mint Green,51.6 hours,,,,,
38,1961,7,1Nem3u,Shepard,Citadel,Female,Abigail,cat,Fish,15567864,Winning,277.0 hours,10,10,10,10,10
39,9127,2,1H1f44,Paddy,Sparkle,Male,Unmarried,cat,Dudley,13950,Teenagers,6.0 hours,3,2,2,0,3
40,15070,12,1D5dSo,Quiqucode,Scarlet,Male,Unmarried,cat,Jupo,15175,Cashing Out,5.9 hours,3,2,2,5,1
41,5048,8,1JPP2L,Smol,221A,Male,sno.,cat,Coto,5713290,dead people,119.5 hours,,,,,
42,8757,7,1HeHC2,HEE JIN,S2,Female,Unmarried,cat,DONG E,8840987,YO HAN,80.8 hours,10,7,10,1,4
43,4032,2,1KXhqS,null,waibubabu,Female,Unmarried,dog,逃跑,12816,火锅,3.4 hours,4,1,2,1,0
44,834,14,1PnaO2,ginseng,doomfist,Male,Maru,cat,so yun park,31147132,bold?,119.3 hours,10,10,10,10,10
45,9682,7,1GG4Ii,Yukina,ALICE,Male,Haley,cat,Yukino,36732207,???,88.3 hours,,,,,
46,2504,7,1Mpae1,Taylor,Mozzarella,Female,Shane,cat,Miso,1417165,Games,102.1 hours,10,8,8,7,7
47,8439,13,1HoPEw,Bernadette,Saitama,Female,Penny,cat,Sakamoto,18595173,honey,145.5 hours,10,10,10,10,10
48,4098,6,1KVgSD,carnel,teste,Male,Penny,cat,Duda,1916761,as,80.5 hours,10,10,10,10,10
49,13040,6,1ECpQa,Arden,Apple Blossom,Male,Sam,cat,Dudley,389248,Ollie and Hugo,41.7 hours,10,7,10,9,6
50,1616,15,1NOhXA,沫子,QQ,Male,铅笔,dog,助多,4116487,Yasumi,117.9 hours,10,5,10,5,4
